id,year,name,team,game,isItasha,photoName,photoCount,link,thumbnailImg,isFeatured
41,2026,JWD Genesis GMR-01 Arrow Design,JWD,LMU,FALSE,jwd_genesis_3,5,,2,TRUE
40,2026,Artoria Pendragon Lancer - Fate Itasha,JWD,LMU,TRUE,jwd_lmu_beemer_saber,5,https://www.racecontrol.gg/liveries/616394,1,TRUE
39,2026,JWD Alpine A424 Evo,JWD,LMU,FALSE,jwd_lmu_alpine_2,8,,5,TRUE
38,2026,DTS Academy Porsche 992 GT3 R,DTS,LMU,FALSE,dts_lmu_porsche_922,4,,1,TRUE
37,2026,OOFS America Cadillac,OOFS,LMU,FALSE,oofs_lmu_caddyjr5,5,,3,FALSE
36,2026,JWD Lamborghini SC63,JWD,LMU,FALSE,jwd_lmu_lambosc63_1,5,,5,FALSE
35,2026,JWD BMW M-Hybrid V8,JWD,LMU,FALSE,jwd_lmu_lilsniffer_1,5,,5,FALSE
34,2026,SRT Ferrari 296 GT3,SRT,IR,FALSE,srt_ir_ferrari_296_gt3_1,3,https://www.tradingpaints.com/showroom/view/1159567/SoarN-Racing-Team,3,TRUE
33,2026,JWD Genesis GMR-01,JWD,LMU,FALSE,jwd_lmu_genesis_teal,6,https://www.racecontrol.gg/liveries/543686,2,FALSE
32,2026,SRT Porsche 911 GT3 R 2026,SRT,IR,FALSE,srt_irg_porsche_1,5,https://www.tradingpaints.com/showroom/view/1063976/Soarn-Racing-Team-Porsche-2026,1,FALSE
31,2026,SRT Porsche 911 GT3 R,SRT,LMU,FALSE,srt_lmu_porsche_992_col,6,,6,FALSE
30,2026,SRT Ford Mustang GT3,SRT,LMU,FALSE,srt_lmu_mustang_1,3,,1,FALSE
29,2026,JWD Aston Martin V8 Vantage Evo,JWD,LMU,FALSE,jwd_lmu_amrv8_1,5,https://www.racecontrol.gg/liveries/livery/6848ebf3401435e38a49e903/69e265ffb03abb44eb6b7574,1,FALSE
28,2026,JWD Ginetta G61-LT-P3,JWD,LMU,FALSE,jwd_lmu_ginetta_1,3,https://www.racecontrol.gg/liveries/livery/6848ebf3401435e38a49e903/6a28d0513ee67ab38ce9a866,1,FALSE
27,2026,JWD Genesis GMR-01 Blackout,JWD,LMU,FALSE,jwd_lmu_genesis_black,5,https://www.racecontrol.gg/liveries/livery/6848ebf3401435e38a49e903/69cee5099b80cdfc08256fb8,2,FALSE
26,2026,OBDA Italian Brain Rot - Bombardiro Crocadiro,OBDA,ACC,TRUE,mis_acc_ibrbc,5,,1,FALSE
25,2025,SRT Aston Martin V8 Vantage Evo,SRT,IR,FALSE,srt_irg_astonv8_1,5,https://www.tradingpaints.com/showroom/view/1011175/SOARN-Racing-Team,3,FALSE
24,2025,SRT Porsche 911 GT3 R 2025,SRT,IR,FALSE,srt_irg_porsche_2,4,https://www.tradingpaints.com/showroom/view/968326/Soarn-Racing-Team--Porsche-911-GT3,1,FALSE
23,2025,SRT Lamborghini SC63,SRT,LMU,FALSE,srt_lmu_lambosc63_1,4,https://www.racecontrol.gg/liveries/110580,2,FALSE
22,2025,SRT Ford Mustang GT3,SRT,ACC,FALSE,srt_acc_mustang_1,6,,1,FALSE
21,2025,SRT Poverty Spec Rauh Peugeot 9X8 Evo,SRT,LMU,FALSE,srt_lmu_rauhpeugeot,4,,1,FALSE
20,2025,MHR Mad Hatter,MHR,ACC,FALSE,mhr_acc_madhatter,6,,1,FALSE
19,2025,MHR Ferrari 550 Retro,MHR,ACC,FALSE,mhr_acc_550Fezza,6,,5,TRUE
18,2025,MHR Leyton House,MHR,ACC,FALSE,mhr_acc_leytonhouse,7,,2,FALSE
17,2025,SRT Tegridy Farms,SRT,ACC,FALSE,srt_acc_tegridy,6,,4,TRUE
16,2025,MHR Turtles,MHR,ACC,FALSE,mhr_acc_turtles,6,,5,FALSE
15,2025,MHR Retro Ferrari,MHR,ACC,FALSE,mhr_acc_pixelFezza,5,,1,FALSE
14,2025,JWD Corvette C8R,JWD,LMU,FALSE,jwd_lmu_vette_1,5,https://www.racecontrol.gg/liveries/livery/6848ebf3401435e38a49e903/68a112b2d9b4a395fda6e92f,3,FALSE
13,2024,MHR Beeeeeans,MHR,ACC,FALSE,mhr_acc_beans,4,,3,FALSE
12,2024,JWD Ford Mustang GT3,JWD,ACC,FALSE,jwd_acc_mustang,5,,3,FALSE
11,2024,MHR Jaws,MHR,ACC,FALSE,mhr_acc_jaws,5,,1,FALSE
10,2024,MHR Bottom Gun,MHR,ACC,FALSE,mhr_acc_bottomgun,8,,2,FALSE
9,2024,MHR Mutt Cutts,MHR,ACC,FALSE,mhr_acc_muttcutts,6,,1,FALSE
8,2024,MHR Streaming Service,MHR,ACC,FALSE,mhr_acc_streamerc,7,,2,FALSE
7,2024,MHR Dune Racing,MHR,ACC,FALSE,mhr_acc_dune,8,,2,FALSE
6,2024,MHR Termenghini,MHR,ACC,TRUE,mhr_acc_termenghini,5,,1,FALSE
5,2024,MHR Tow Cap Racing New,MHR,ACC,FALSE,mhr_acc_towcap_1,5,,2,FALSE
4,2024,MHR Tow Cap Racing Old,MHR,ACC,FALSE,mhr_acc_towcap_2,4,,1,FALSE
3,2024,SRT Macca 'n Cheese,SRT,ACC,FALSE,srt_acc_macca,4,,2,FALSE
2,2023,SRT Freedom Porsche,SRT,ACC,FALSE,srt_acc_freedomPorsche,4,,1,FALSE
1,2023,SRT RCI 24 Hours of Suzuka Special Porsche,SRT,ACC,FALSE,srt_acc_japanPorsche,5,,1,FALSE
